Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,North Florida,14,7,7,.500,-1.31,2.69,0,0,5,0,1,6,1111,1075,,72.8,108.9,.256,.544,.569,50.2,60.6,8.0,6.0,.537,17.1,30.7,.202
2,VMI,13,5,8,.385,-7.57,-4.17,0,1,4,2,0,5,949,823,,65.5,108.5,.226,.515,.559,50.6,64.4,12.0,8.1,.536,15.5,28.9,.166
3,Fresno State,12,4,8,.333,3.06,1.97,0,2,3,2,1,5,861,804,,65.6,104.9,.301,.510,.530,53.3,51.2,8.5,11.4,.504,16.0,32.3,.206
4,Saint Joseph's,12,3,9,.250,-5.06,5.03,0,0,2,3,1,3,859,980,,73.7,97.2,.284,.499,.491,47.1,54.4,7.4,6.5,.458,14.8,27.7,.200
5,Wofford,13,8,5,.615,-0.58,-1.49,0,0,5,1,3,4,971,892,,65.7,113.7,.253,.494,.586,48.7,54.7,9.4,8.3,.560,14.5,27.2,.195
6,Quinnipiac,10,5,5,.500,-7.09,-7.29,0,0,3,1,1,3,724,722,,69.2,104.6,.276,.493,.556,49.3,57.0,7.2,8.9,.526,15.7,25.6,.205
7,Colgate,13,9,4,.692,-1.64,-2.22,0,0,5,0,3,4,974,928,,69.2,107.3,.173,.491,.563,49.6,51.2,7.9,7.4,.541,15.5,25.8,.136
8,Rice,12,8,4,.667,-3.24,-0.34,0,0,4,1,2,2,909,880,,74.2,102.1,.359,.491,.553,50.7,56.7,8.3,6.9,.524,17.8,25.3,.248
9,Northern Colorado,11,7,4,.636,5.07,-2.16,0,0,4,0,1,3,844,668,,67.6,112.2,.315,.486,.572,52.9,49.5,8.9,4.7,.552,14.5,28.3,.210
10,Long Island University,12,4,8,.333,-6.17,-0.75,0,0,1,2,2,5,908,973,,76.4,98.0,.334,.485,.550,44.3,52.1,9.0,8.8,.522,17.8,18.3,.230
11,North Dakota State,13,8,5,.615,-1.36,-3.36,0,0,4,1,3,3,899,835,,66.6,103.8,.308,.484,.529,51.9,52.5,7.9,5.3,.492,13.1,24.5,.229
12,Ball State,13,7,6,.538,5.27,-2.90,0,0,3,3,2,1,937,795,,69.7,103.4,.293,.479,.541,52.1,57.4,10.5,9.4,.521,16.5,28.9,.191
13,Syracuse,12,7,5,.583,11.51,3.76,1,1,6,2,1,1,884,791,,68.0,108.3,.371,.478,.558,48.5,71.4,11.8,14.5,.525,15.4,28.3,.261
14,Detroit Mercy,12,2,10,.167,-12.83,0.34,0,0,1,3,0,6,801,959,,71.3,93.6,.314,.477,.494,47.3,46.7,8.6,8.1,.443,16.8,27.0,.249
