Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,12,7,5,.583,-4.22,-2.72,2,0,6,1,1,4,933,725,,71.5,83.6,.424,.357,.516,46.8,44.1,9.0,7.5,.456,26.2,23.1,.326
2,Air Force,13,6,7,.462,-3.08,-1.83,1,1,3,3,3,1,986,944,,68.0,106.8,.261,.464,.577,50.2,57.8,8.4,8.5,.560,15.4,22.3,.176
3,Akron,12,9,3,.750,6.25,-1.65,0,0,7,0,1,2,906,760,,72.3,87.7,.271,.282,.454,48.1,36.9,9.9,8.7,.423,16.1,27.0,.178
4,Alabama A&M,10,3,7,.300,-14.93,-1.03,0,0,3,0,0,7,677,816,,71.6,112.6,.344,.389,.585,57.1,55.7,7.7,13.2,.569,16.6,31.7,.224
5,Alabama-Birmingham,12,8,4,.667,-0.04,-2.13,0,0,5,2,1,2,778,743,,66.3,93.3,.272,.388,.486,44.9,49.1,11.7,9.3,.455,16.8,26.5,.188
6,Alabama State,12,1,11,.083,-17.02,3.40,0,0,0,0,0,8,685,930,,70.2,110.5,.369,.372,.606,57.7,56.0,10.2,11.4,.583,19.1,30.3,.257
7,Alabama,11,6,5,.545,9.63,5.18,0,0,3,1,1,2,903,854,,79.1,98.2,.309,.364,.514,48.9,45.0,11.7,12.1,.479,16.3,28.3,.219
8,Albany (NY),14,6,8,.429,-8.37,-5.14,0,0,4,2,0,6,934,950,,70.4,96.4,.271,.389,.499,49.6,55.3,11.5,9.6,.465,15.5,26.5,.195
9,Alcorn State,10,4,6,.400,-13.57,5.76,0,0,4,0,0,6,786,717,,73.8,96.0,.340,.407,.528,47.0,52.5,10.0,6.2,.503,19.3,26.8,.219
10,American,10,4,6,.400,-5.76,-5.66,0,0,2,2,2,4,737,738,,70.3,105.0,.374,.298,.550,51.3,44.8,8.8,10.7,.514,15.7,28.8,.267
11,Appalachian State,12,8,4,.667,2.47,-1.53,2,0,4,0,3,3,843,744,,69.6,89.0,.220,.438,.484,48.6,55.1,7.7,7.5,.455,20.1,26.9,.159
12,Arizona State,12,8,4,.667,9.65,3.15,0,0,5,1,2,0,876,798,,74.4,89.5,.298,.357,.492,51.4,45.2,7.8,8.9,.468,19.8,27.4,.187
13,Arizona,13,10,3,.769,22.43,4.05,0,0,7,1,0,1,1088,849,,72.7,89.7,.377,.368,.481,47.5,57.5,5.9,6.0,.433,18.8,28.0,.269
14,Little Rock,13,8,5,.615,0.50,-1.09,2,0,4,1,4,4,884,847,,69.2,94.2,.345,.439,.518,46.9,54.2,10.2,8.9,.489,19.7,26.7,.229
