Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,12,7,5,.583,-4.22,-2.72,2,0,6,1,1,4,933,725,,485,238,585,.407,58,209,.278,191,248,.770,88,386,105,78,35,250,221
2,Air Force,13,6,7,.462,-3.08,-1.83,1,1,3,3,3,1,986,944,,520,344,728,.473,128,338,.379,128,190,.674,90,394,199,74,33,149,268
3,Akron,12,9,3,.750,6.25,-1.65,0,0,7,0,1,2,906,760,,480,287,742,.387,54,209,.258,132,201,.657,129,439,106,86,34,161,244
4,Alabama A&M,10,3,7,.300,-14.93,-1.03,0,0,3,0,0,7,677,816,,405,300,599,.501,82,233,.352,134,206,.650,105,416,167,56,52,139,154
5,Alabama-Birmingham,12,8,4,.667,-0.04,-2.13,0,0,5,2,1,2,778,743,,480,269,677,.397,78,263,.297,127,184,.690,115,371,132,93,41,154,202
6,Alabama State,12,1,11,.083,-17.02,3.40,0,0,0,0,0,8,685,930,,480,334,653,.511,94,243,.387,168,241,.697,108,459,187,86,46,181,203
7,Alabama,11,6,5,.545,9.63,5.18,0,0,3,1,1,2,903,854,,440,307,725,.423,81,264,.307,159,224,.710,124,419,138,102,45,162,212
8,Albany (NY),14,6,8,.429,-8.37,-5.14,0,0,4,2,0,6,934,950,,560,340,844,.403,105,328,.320,165,229,.721,136,477,188,113,43,175,262
9,Alcorn State,10,4,6,.400,-13.57,5.76,0,0,4,0,0,6,786,717,,405,259,585,.443,71,238,.298,128,199,.643,99,359,136,75,24,163,143
10,American,10,4,6,.400,-5.76,-5.66,0,0,2,2,2,4,737,738,,400,261,570,.458,64,170,.376,152,213,.714,97,347,117,62,41,125,152
11,Appalachian State,12,8,4,.667,2.47,-1.53,2,0,4,0,3,3,843,744,,480,267,696,.384,99,305,.325,111,153,.725,122,426,147,64,31,193,233
12,Arizona State,12,8,4,.667,9.65,3.15,0,0,5,1,2,0,876,798,,480,294,711,.414,77,254,.303,133,212,.627,125,472,133,70,43,201,235
