Rk,School,G-O,W-O,L-O,W-L%-O,SRS,SOS,W-C,L-C,W-H,L-H,W-A,L-A,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,12,7,5,.583,-4.22,-2.72,2,0,6,1,1,4,933,725,,485,335,742,.451,81,273,.297,182,243,.749,146,439,198,120,27,157,234
2,Air Force,13,6,7,.462,-3.08,-1.83,1,1,3,3,3,1,986,944,,520,325,672,.484,115,282,.408,221,290,.762,78,391,175,63,28,158,210
3,Akron,12,9,3,.750,6.25,-1.65,0,0,7,0,1,2,906,760,,480,302,703,.430,114,314,.363,188,249,.755,125,474,171,62,43,169,201
4,Alabama A&M,10,3,7,.300,-14.93,-1.03,0,0,3,0,0,7,677,816,,405,249,621,.401,68,226,.301,111,153,.725,86,312,109,70,21,112,186
5,Alabama-Birmingham,12,8,4,.667,-0.04,-2.13,0,0,5,2,1,2,778,743,,480,280,639,.438,66,197,.335,152,211,.720,137,456,128,68,38,186,206
6,Alabama State,12,1,11,.083,-17.02,3.40,0,0,0,0,0,8,685,930,,480,241,656,.367,75,254,.295,128,190,.674,88,336,104,81,24,186,241
7,Alabama,11,6,5,.545,9.63,5.18,0,0,3,1,1,2,903,854,,440,311,702,.443,121,331,.366,160,227,.705,123,437,164,77,47,183,210
8,Albany (NY),14,6,8,.429,-8.37,-5.14,0,0,4,2,0,6,934,950,,560,322,758,.425,98,311,.315,192,275,.698,108,485,195,72,46,198,230
9,Alcorn State,10,4,6,.400,-13.57,5.76,0,0,4,0,0,6,786,717,,405,285,663,.430,103,278,.371,113,158,.715,134,405,153,96,31,147,179
10,American,10,4,6,.400,-5.76,-5.66,0,0,2,2,2,4,737,738,,400,272,585,.465,79,203,.389,114,169,.675,90,330,129,71,37,131,178
11,Appalachian State,12,8,4,.667,2.47,-1.53,2,0,4,0,3,3,843,744,,480,297,670,.443,79,254,.311,170,266,.639,120,451,141,99,34,155,182
12,Arizona State,12,8,4,.667,9.65,3.15,0,0,5,1,2,0,876,798,,480,314,744,.422,75,261,.287,173,250,.692,116,447,129,103,38,150,218
13,Arizona,13,10,3,.769,22.43,4.05,0,0,7,1,0,1,1088,849,,520,381,774,.492,97,258,.376,229,306,.748,128,485,222,94,54,153,255
14,Little Rock,13,8,5,.615,0.50,-1.09,2,0,4,1,4,4,884,847,,520,309,687,.450,71,215,.330,195,284,.687,138,464,173,99,37,216,245
15,Arkansas-Pine Bluff,11,1,10,.091,-20.00,6.20,0,0,1,0,0,10,550,804,,440,204,529,.386,41,142,.289,101,155,.652,84,320,102,88,25,220,213
16,Arkansas State,12,9,3,.750,-2.09,-1.91,2,0,6,1,3,2,816,802,,480,285,626,.455,64,181,.354,182,257,.708,103,373,173,88,33,163,229
17,Arkansas,11,10,1,.909,16.44,0.81,0,0,8,0,1,1,826,654,,450,289,640,.452,79,264,.299,169,227,.744,82,384,145,109,58,151,197
18,Army,11,5,6,.455,-14.60,-7.50,0,0,3,2,2,4,769,803,,445,292,626,.466,86,260,.331,99,179,.553,79,389,186,70,15,163,173
19,Auburn,11,11,0,1.000,18.84,3.21,0,0,6,0,1,0,900,728,,445,311,673,.462,93,288,.323,185,285,.649,148,463,158,78,68,148,188
20,Austin Peay,12,6,6,.500,-1.93,1.07,0,0,5,0,0,5,936,904,,480,329,700,.470,74,232,.319,204,277,.736,140,411,152,89,42,171,235
21,Ball State,13,7,6,.538,5.27,-2.90,0,0,3,3,2,1,937,795,,520,333,760,.438,126,364,.346,145,223,.650,131,466,191,95,46,171,190
22,Baylor,10,9,1,.900,18.52,2.52,0,0,5,0,0,0,766,606,,400,274,622,.441,87,245,.355,131,187,.701,135,383,154,90,52,122,165
